,id_criatura,id_personal,id_tratamiento,fecha,hora,fecha_y_hora
49,42,10,1,9576-06-02,15:02,9576-06-02 15:02:00
50,43,26,1,9724-01-29,17:16,9724-01-29 17:16:00
51,44,14,4,9973-12-26,11:19,9973-12-26 11:19:00
52,38,27,2,9958-06-12,16:58,9958-06-12 16:58:00
53,45,11,4,9722-03-25,16:07,9722-03-25 16:07:00
54,46,28,5,9192-06-19,16:48,9192-06-19 16:48:00
55,40,29,5,9696-10-26,09:48,9696-10-26 09:48:00
56,47,11,1,9162-10-29,10:01,9162-10-29 10:01:00
57,48,17,6,9282-07-28,16:27,9282-07-28 16:27:00
58,4,24,1,9372-02-24,09:39,9372-02-24 09:39:00
59,49,5,5,9258-09-03,18:04,9258-09-03 18:04:00
60,9,13,7,9226-12-06,13:48,9226-12-06 13:48:00
61,32,7,5,9510-05-04,13:06,9510-05-04 13:06:00
62,5,27,10,9352-11-30,16:21,9352-11-30 16:21:00
63,50,12,9,9630-08-30,09:46,9630-08-30 09:46:00
64,51,1,5,9793-03-10,11:19,9793-03-10 11:19:00
65,52,27,6,9383-01-23,16:21,9383-01-23 16:21:00
66,53,13,3,9822-04-01,18:47,9822-04-01 18:47:00
67,19,13,5,9408-09-06,14:13,9408-09-06 14:13:00
68,54,15,1,9007-11-26,09:38,9007-11-26 09:38:00
69,26,15,2,9372-09-15,11:08,9372-09-15 11:08:00
70,3,8,9,9672-01-24,15:16,9672-01-24 15:16:00
71,55,15,3,9588-09-05,18:27,9588-09-05 18:27:00
72,56,24,5,9850-09-25,09:08,9850-09-25 09:08:00
73,57,9,1,9257-04-26,16:23,9257-04-26 16:23:00
74,58,25,10,9113-07-23,14:30,9113-07-23 14:30:00
75,39,16,8,9694-05-08,12:08,9694-05-08 12:08:00
76,3,20,4,9184-05-06,10:33,9184-05-06 10:33:00
77,50,9,6,9147-01-09,15:29,9147-01-09 15:29:00
78,59,9,4,9847-01-18,18:06,9847-01-18 18:06:00
79,60,4,1,9919-06-04,08:07,9919-06-04 08:07:00
80,61,18,2,9173-04-07,13:18,9173-04-07 13:18:00
81,1,30,8,9215-11-28,18:30,9215-11-28 18:30:00
82,42,13,7,9478-02-08,18:28,9478-02-08 18:28:00
83,35,18,8,9321-12-22,14:10,9321-12-22 14:10:00
84,62,15,8,9656-09-08,17:10,9656-09-08 17:10:00
85,31,27,7,9077-02-28,15:07,9077-02-28 15:07:00
86,63,24,2,9487-05-16,10:06,9487-05-16 10:06:00
87,36,8,10,9945-08-06,12:43,9945-08-06 12:43:00
88,64,28,3,9457-07-24,15:57,9457-07-24 15:57:00
89,39,19,3,9085-10-02,17:18,9085-10-02 17:18:00
90,64,7,10,9373-09-21,18:15,9373-09-21 18:15:00
91,65,30,4,9289-09-18,08:23,9289-09-18 08:23:00
92,66,19,5,9335-04-02,16:00,9335-04-02 16:00:00
93,67,20,2,9967-06-12,10:26,9967-06-12 10:26:00
94,68,17,3,9866-03-15,12:10,9866-03-15 12:10:00
95,53,14,4,9453-04-11,10:29,9453-04-11 10:29:00
96,56,21,6,9670-05-09,12:41,9670-05-09 12:41:00
97,30,31,9,9132-11-11,14:23,9132-11-11 14:23:00
98,69,18,5,9225-08-14,11:03,9225-08-14 11:03:00
99,23,25,8,9731-08-07,16:56,9731-08-07 16:56:00
100,18,25,8,9195-01-04,18:37,9195-01-04 18:37:00
101,39,7,9,9346-11-05,08:48,9346-11-05 08:48:00
102,45,9,5,9022-09-07,13:05,9022-09-07 13:05:00
103,10,13,5,9909-08-13,18:23,9909-08-13 18:23:00
104,66,5,5,9878-10-17,12:31,9878-10-17 12:31:00
105,23,23,9,9489-06-11,16:26,9489-06-11 16:26:00
106,15,30,10,9144-03-25,13:50,9144-03-25 13:50:00
107,55,22,4,9634-09-19,15:42,9634-09-19 15:42:00
108,70,28,4,9382-03-27,14:03,9382-03-27 14:03:00
109,71,10,6,9183-11-17,08:22,9183-11-17 08:22:00
110,72,23,9,9032-07-12,08:45,9032-07-12 08:45:00
111,73,9,9,9169-09-01,10:20,9169-09-01 10:20:00
112,21,17,6,9884-12-03,10:56,9884-12-03 10:56:00
113,34,5,1,9864-08-09,13:03,9864-08-09 13:03:00
114,74,16,5,9109-03-03,13:54,9109-03-03 13:54:00
115,34,21,3,9446-03-12,12:48,9446-03-12 12:48:00
116,11,4,8,9736-11-13,17:00,9736-11-13 17:00:00
117,27,12,8,9831-03-21,12:45,9831-03-21 12:45:00
118,59,1,2,9631-03-05,15:52,9631-03-05 15:52:00
119,75,27,5,9692-02-01,15:22,9692-02-01 15:22:00
120,76,16,6,9568-09-27,10:33,9568-09-27 10:33:00
121,77,12,4,9639-10-20,17:06,9639-10-20 17:06:00
122,78,13,10,9933-05-18,10:30,9933-05-18 10:30:00
123,79,1,6,9360-12-15,09:39,9360-12-15 09:39:00
124,80,2,1,9466-11-06,08:56,9466-11-06 08:56:00
125,52,9,4,9176-02-02,11:14,9176-02-02 11:14:00
126,73,30,3,9665-06-19,13:41,9665-06-19 13:41:00
127,20,31,4,9398-03-23,12:47,9398-03-23 12:47:00
128,78,19,10,9013-05-31,10:07,9013-05-31 10:07:00
129,81,20,1,9206-08-26,08:07,9206-08-26 08:07:00
130,71,23,7,9446-11-16,18:52,9446-11-16 18:52:00
131,28,26,10,9277-05-05,08:57,9277-05-05 08:57:00
132,64,7,4,9826-04-21,18:53,9826-04-21 18:53:00
133,4,22,8,9261-07-03,08:12,9261-07-03 08:12:00
134,82,30,4,9029-07-11,17:02,9029-07-11 17:02:00
135,83,10,6,9948-01-04,13:27,9948-01-04 13:27:00
136,84,24,8,9593-05-14,09:17,9593-05-14 09:17:00
137,85,9,8,9252-09-17,13:18,9252-09-17 13:18:00
138,50,17,2,9339-09-15,15:33,9339-09-15 15:33:00
139,21,5,5,9285-02-12,17:48,9285-02-12 17:48:00
140,78,10,7,9872-04-08,16:30,9872-04-08 16:30:00
141,86,16,2,9537-05-24,16:15,9537-05-24 16:15:00
142,33,6,3,9833-03-15,17:33,9833-03-15 17:33:00
143,87,24,3,9178-06-28,15:51,9178-06-28 15:51:00
144,83,10,3,9890-04-03,11:42,9890-04-03 11:42:00
145,88,24,9,9527-07-11,14:59,9527-07-11 14:59:00
146,88,28,7,9461-02-27,11:47,9461-02-27 11:47:00
147,85,18,8,9786-11-26,11:34,9786-11-26 11:34:00
148,20,8,9,9145-11-29,09:30,9145-11-29 09:30:00
149,21,21,3,9735-11-02,14:05,9735-11-02 14:05:00
150,15,20,10,9100-03-08,15:59,9100-03-08 15:59:00
151,57,29,4,9908-08-28,13:10,9908-08-28 13:10:00
152,28,31,5,9615-09-18,14:50,9615-09-18 14:50:00
153,45,18,7,9481-12-07,17:42,9481-12-07 17:42:00
154,10,30,4,9767-05-25,10:54,9767-05-25 10:54:00
155,1,26,9,9367-06-22,13:03,9367-06-22 13:03:00
156,89,1,10,9433-11-18,18:48,9433-11-18 18:48:00
157,90,14,6,9256-12-17,17:25,9256-12-17 17:25:00
158,13,21,9,9208-07-12,18:37,9208-07-12 18:37:00
159,49,32,5,9792-03-10,16:33,9792-03-10 16:33:00
160,4,15,4,9378-06-07,13:42,9378-06-07 13:42:00
161,78,14,1,9653-02-18,17:46,9653-02-18 17:46:00
162,14,29,10,9277-06-17,12:16,9277-06-17 12:16:00
163,45,13,2,9143-01-14,12:31,9143-01-14 12:31:00
164,5,19,9,9668-10-20,13:02,9668-10-20 13:02:00
165,85,24,3,9153-02-13,08:52,9153-02-13 08:52:00
166,20,12,6,9032-07-22,17:43,9032-07-22 17:43:00
167,37,16,2,9780-07-24,16:31,9780-07-24 16:31:00
168,13,29,10,9332-01-21,14:30,9332-01-21 14:30:00
169,22,1,1,9001-08-02,10:02,9001-08-02 10:02:00
170,28,1,10,9255-05-04,14:20,9255-05-04 14:20:00
171,26,28,8,9204-12-27,14:54,9204-12-27 14:54:00
172,91,2,8,9274-08-07,09:39,9274-08-07 09:39:00
173,92,4,3,9474-02-07,18:49,9474-02-07 18:49:00
174,88,14,7,9913-01-31,18:10,9913-01-31 18:10:00
175,64,7,5,9894-11-12,16:46,9894-11-12 16:46:00
176,82,25,8,9438-07-27,11:26,9438-07-27 11:26:00
177,33,8,7,9947-05-04,18:45,9947-05-04 18:45:00
178,63,28,2,9137-09-20,17:28,9137-09-20 17:28:00
179,72,30,5,9621-05-08,09:25,9621-05-08 09:25:00
180,54,23,3,9330-05-26,10:47,9330-05-26 10:47:00
181,93,18,3,9072-02-28,08:31,9072-02-28 08:31:00
182,12,14,9,9261-01-18,17:19,9261-01-18 17:19:00
183,72,24,5,9977-11-18,13:47,9977-11-18 13:47:00
184,36,26,7,9646-01-09,13:42,9646-01-09 13:42:00
185,1,16,5,9108-07-08,16:53,9108-07-08 16:53:00
186,94,32,1,9613-05-25,11:49,9613-05-25 11:49:00
187,95,20,1,9714-03-28,15:09,9714-03-28 15:09:00
188,42,6,9,9325-02-03,16:26,9325-02-03 16:26:00
189,96,4,4,9065-10-10,16:02,9065-10-10 16:02:00
190,24,22,7,9790-05-20,18:23,9790-05-20 18:23:00
191,59,12,10,9773-04-13,10:26,9773-04-13 10:26:00
192,34,11,8,9105-07-21,08:59,9105-07-21 08:59:00
193,97,16,5,9252-11-08,12:36,9252-11-08 12:36:00
194,98,12,7,9015-07-15,15:09,9015-07-15 15:09:00
195,15,24,5,9991-04-06,14:04,9991-04-06 14:04:00
196,87,28,7,9084-04-10,09:40,9084-04-10 09:40:00
197,90,15,9,9775-11-10,18:57,9775-11-10 18:57:00
198,55,31,9,9973-06-06,18:51,9973-06-06 18:51:00
199,85,17,5,9280-02-11,11:16,9280-02-11 11:16:00
200,44,10,1,9093-12-30,18:11,9093-12-30 18:11:00
201,80,17,1,9437-12-07,18:41,9437-12-07 18:41:00
202,93,31,3,9277-06-04,12:09,9277-06-04 12:09:00
203,73,5,4,9427-05-15,12:21,9427-05-15 12:21:00
204,83,1,6,9496-08-01,17:57,9496-08-01 17:57:00
205,99,8,5,9049-11-27,15:51,9049-11-27 15:51:00
206,21,3,10,9223-03-11,08:50,9223-03-11 08:50:00
207,25,12,6,9393-04-07,15:59,9393-04-07 15:59:00
208,100,28,5,9537-08-25,15:47,9537-08-25 15:47:00
209,57,27,2,9973-04-21,16:50,9973-04-21 16:50:00
210,89,5,10,9492-09-23,08:04,9492-09-23 08:04:00
211,75,12,4,9562-01-01,14:40,9562-01-01 14:40:00
212,67,3,10,9556-02-12,10:54,9556-02-12 10:54:00
213,27,24,3,9597-12-19,13:51,9597-12-19 13:51:00
214,40,13,9,9401-06-29,16:49,9401-06-29 16:49:00
215,101,22,4,9446-07-24,18:27,9446-07-24 18:27:00
216,3,21,6,9897-12-29,18:07,9897-12-29 18:07:00
217,13,8,1,9381-06-02,15:16,9381-06-02 15:16:00
218,97,17,8,9560-12-09,16:16,9560-12-09 16:16:00
219,70,21,2,9987-05-24,15:23,9987-05-24 15:23:00
220,102,9,9,9108-06-13,13:42,9108-06-13 13:42:00
221,103,20,9,9948-10-28,09:49,9948-10-28 09:49:00
222,27,21,10,9484-06-15,08:15,9484-06-15 08:15:00
223,29,8,2,9684-10-31,15:25,9684-10-31 15:25:00
224,104,17,3,9132-08-05,12:05,9132-08-05 12:05:00
225,4,8,1,9512-05-14,11:44,9512-05-14 11:44:00
226,88,17,4,9959-06-28,12:12,9959-06-28 12:12:00
227,77,18,7,9803-03-06,15:52,9803-03-06 15:52:00
228,47,22,7,9260-08-05,16:01,9260-08-05 16:01:00
229,67,4,9,9067-03-06,10:22,9067-03-06 10:22:00
230,65,27,2,9488-12-08,16:03,9488-12-08 16:03:00
231,32,24,4,9356-12-02,18:45,9356-12-02 18:45:00
232,54,31,4,9014-06-16,12:25,9014-06-16 12:25:00
233,105,24,10,9307-12-09,18:25,9307-12-09 18:25:00
234,17,22,7,9569-01-25,10:50,9569-01-25 10:50:00
235,17,12,3,9166-03-16,08:20,9166-03-16 08:20:00
236,86,10,5,9029-03-17,12:19,9029-03-17 12:19:00
237,86,22,7,9158-05-09,15:09,9158-05-09 15:09:00
238,106,18,2,9755-10-08,14:46,9755-10-08 14:46:00
239,107,13,3,9083-05-19,12:43,9083-05-19 12:43:00
240,89,6,5,9995-04-11,13:09,9995-04-11 13:09:00
241,54,2,8,9011-10-26,13:23,9011-10-26 13:23:00
242,65,11,7,9494-10-02,13:35,9494-10-02 13:35:00
243,77,11,2,9891-07-20,12:55,9891-07-20 12:55:00
244,100,29,6,9152-04-29,13:40,9152-04-29 13:40:00
245,21,15,9,9904-10-29,13:28,9904-10-29 13:28:00
246,12,14,4,9763-04-01,17:22,9763-04-01 17:22:00
247,108,29,8,9986-07-21,12:35,9986-07-21 12:35:00
248,105,15,5,9750-03-21,16:03,9750-03-21 16:03:00
249,30,11,9,9753-07-27,15:38,9753-07-27 15:38:00
250,45,16,10,9790-04-18,17:29,9790-04-18 17:29:00
251,32,15,2,9990-08-21,16:37,9990-08-21 16:37:00
252,84,19,9,9633-02-08,14:19,9633-02-08 14:19:00
253,109,3,9,9638-09-24,18:20,9638-09-24 18:20:00
254,47,9,3,9768-02-25,12:36,9768-02-25 12:36:00
255,103,14,5,9230-06-07,08:12,9230-06-07 08:12:00
256,48,17,9,9221-01-01,16:09,9221-01-01 16:09:00
257,71,23,5,9807-04-27,17:23,9807-04-27 17:23:00
258,22,17,7,9307-01-20,14:21,9307-01-20 14:21:00
259,19,16,2,9604-11-09,14:40,9604-11-09 14:40:00
260,60,22,8,9045-03-03,11:16,9045-03-03 11:16:00
261,72,19,3,9167-09-15,09:31,9167-09-15 09:31:00
262,110,26,10,9769-06-24,17:22,9769-06-24 17:22:00
263,101,21,2,9372-09-24,17:11,9372-09-24 17:11:00
264,83,9,3,9650-02-26,18:43,9650-02-26 18:43:00
265,74,30,2,9136-08-03,10:59,9136-08-03 10:59:00
266,111,16,4,9264-07-14,15:15,9264-07-14 15:15:00
267,75,5,4,9454-12-16,14:23,9454-12-16 14:23:00
268,67,16,7,9675-08-28,14:49,9675-08-28 14:49:00
269,96,15,1,9639-12-30,09:58,9639-12-30 09:58:00
270,4,7,6,9037-04-14,18:04,9037-04-14 18:04:00
271,19,32,3,9733-01-12,09:50,9733-01-12 09:50:00
272,105,23,2,9466-01-31,11:57,9466-01-31 11:57:00
273,83,26,7,9305-06-10,18:26,9305-06-10 18:26:00
274,79,21,7,9164-01-14,13:46,9164-01-14 13:46:00
275,111,11,10,9735-11-03,08:48,9735-11-03 08:48:00
276,77,2,3,9976-01-24,12:42,9976-01-24 12:42:00
277,22,23,1,9225-09-24,18:39,9225-09-24 18:39:00
278,88,4,1,9108-08-03,13:34,9108-08-03 13:34:00
279,10,5,5,9609-04-03,10:59,9609-04-03 10:59:00
280,8,15,9,9983-01-30,08:45,9983-01-30 08:45:00
281,87,19,8,9435-08-26,16:40,9435-08-26 16:40:00
282,104,17,4,9653-04-20,14:17,9653-04-20 14:17:00
283,58,23,2,9641-07-08,09:41,9641-07-08 09:41:00
284,99,5,8,9078-01-07,09:59,9078-01-07 09:59:00
285,25,29,8,9661-08-28,09:12,9661-08-28 09:12:00
286,103,13,7,9422-01-06,15:28,9422-01-06 15:28:00
287,20,32,2,9927-01-14,13:47,9927-01-14 13:47:00
288,91,2,4,9565-01-22,17:24,9565-01-22 17:24:00
289,90,4,8,9750-04-02,13:44,9750-04-02 13:44:00
290,58,23,5,9394-05-07,18:49,9394-05-07 18:49:00
291,4,8,2,9164-07-22,14:52,9164-07-22 14:52:00
292,67,14,4,9591-01-14,16:25,9591-01-14 16:25:00
293,95,20,8,9826-03-17,16:25,9826-03-17 16:25:00
294,57,22,2,9566-01-26,14:24,9566-01-26 14:24:00
295,97,12,1,9171-10-26,17:43,9171-10-26 17:43:00
296,63,1,10,9006-10-28,18:52,9006-10-28 18:52:00
297,107,19,4,9207-12-04,13:28,9207-12-04 13:28:00
298,45,3,7,9812-01-26,09:38,9812-01-26 09:38:00
299,112,14,3,9010-04-29,18:15,9010-04-29 18:15:00
300,47,14,7,9595-05-23,13:03,9595-05-23 13:03:00
301,11,15,4,9298-03-14,12:26,9298-03-14 12:26:00
302,110,17,5,9831-02-23,15:15,9831-02-23 15:15:00
303,54,27,9,9757-02-06,16:50,9757-02-06 16:50:00
304,86,31,8,9728-05-07,12:27,9728-05-07 12:27:00
305,113,8,4,9446-06-05,17:05,9446-06-05 17:05:00
306,2,21,9,9232-10-10,14:43,9232-10-10 14:43:00
307,111,4,7,9646-04-23,12:21,9646-04-23 12:21:00
308,31,16,9,9191-01-11,14:31,9191-01-11 14:31:00
309,114,29,1,9140-07-01,08:50,9140-07-01 08:50:00
310,65,20,9,9675-08-04,11:46,9675-08-04 11:46:00
311,77,8,4,9426-10-20,17:28,9426-10-20 17:28:00
312,90,32,2,9400-09-12,15:05,9400-09-12 15:05:00
313,2,5,5,9316-03-03,14:37,9316-03-03 14:37:00
314,63,6,1,9625-06-23,15:32,9625-06-23 15:32:00
315,51,19,1,9315-11-03,14:45,9315-11-03 14:45:00
316,93,16,3,9959-01-11,15:07,9959-01-11 15:07:00
317,115,11,8,9517-01-09,13:25,9517-01-09 13:25:00
318,91,14,5,9855-02-22,13:46,9855-02-22 13:46:00
319,101,9,3,9827-09-20,14:00,9827-09-20 14:00:00
320,65,28,7,9205-12-31,13:48,9205-12-31 13:48:00
321,107,22,6,9399-01-10,14:17,9399-01-10 14:17:00
322,62,9,2,9349-05-23,18:43,9349-05-23 18:43:00
323,27,1,9,9851-07-02,15:50,9851-07-02 15:50:00
324,35,24,1,9630-07-04,08:15,9630-07-04 08:15:00
325,35,23,1,9019-12-13,10:21,9019-12-13 10:21:00
326,72,25,2,9153-03-04,10:53,9153-03-04 10:53:00
327,104,22,10,9082-10-31,16:34,9082-10-31 16:34:00
328,96,28,10,9048-11-15,14:36,9048-11-15 14:36:00
329,41,9,4,9327-05-06,08:51,9327-05-06 08:51:00
330,56,24,6,9126-01-27,13:05,9126-01-27 13:05:00
331,34,32,2,9131-10-09,12:11,9131-10-09 12:11:00
332,31,7,2,9860-06-02,17:50,9860-06-02 17:50:00
333,62,23,9,9250-04-01,13:26,9250-04-01 13:26:00
334,105,25,2,9788-10-16,09:41,9788-10-16 09:41:00
335,36,28,4,9466-10-19,12:22,9466-10-19 12:22:00
336,35,22,2,9638-02-21,09:20,9638-02-21 09:20:00
337,116,6,8,9425-07-27,17:44,9425-07-27 17:44:00
338,34,23,9,9386-06-07,11:48,9386-06-07 11:48:00
339,66,23,2,9095-02-07,13:26,9095-02-07 13:26:00
340,112,29,10,9543-09-07,15:19,9543-09-07 15:19:00
341,49,30,5,9361-04-16,18:15,9361-04-16 18:15:00
342,117,29,3,9889-12-27,13:57,9889-12-27 13:57:00
343,43,10,6,9888-09-27,08:00,9888-09-27 08:00:00
344,107,22,6,9294-02-20,18:47,9294-02-20 18:47:00
345,118,24,9,9636-06-10,10:04,9636-06-10 10:04:00
346,38,20,1,9430-02-28,09:13,9430-02-28 09:13:00
347,63,16,2,9144-12-13,08:30,9144-12-13 08:30:00
348,58,2,8,9576-03-06,11:34,9576-03-06 11:34:00
349,114,20,8,9426-07-09,17:43,9426-07-09 17:43:00
350,119,5,6,9412-10-09,12:35,9412-10-09 12:35:00
351,63,20,1,9799-05-08,15:21,9799-05-08 15:21:00
352,21,19,1,9601-09-23,14:15,9601-09-23 14:15:00
353,29,12,3,9149-02-23,14:28,9149-02-23 14:28:00
354,29,6,8,9097-03-05,17:40,9097-03-05 17:40:00
355,75,18,5,9333-01-04,14:03,9333-01-04 14:03:00
356,26,15,6,9651-08-17,10:44,9651-08-17 10:44:00
357,108,27,8,9210-02-11,18:12,9210-02-11 18:12:00
358,67,19,2,9961-02-07,09:21,9961-02-07 09:21:00
359,95,23,3,9253-07-06,18:26,9253-07-06 18:26:00
360,97,21,10,9804-04-06,18:54,9804-04-06 18:54:00
361,41,22,8,9385-05-29,08:26,9385-05-29 08:26:00
362,54,23,7,9711-06-25,15:16,9711-06-25 15:16:00
363,39,31,2,9250-06-30,11:27,9250-06-30 11:27:00
364,108,20,1,9091-12-16,08:53,9091-12-16 08:53:00
365,74,28,1,9597-02-01,18:26,9597-02-01 18:26:00
366,14,19,6,9486-03-20,09:18,9486-03-20 09:18:00
367,88,7,6,9984-07-07,18:39,9984-07-07 18:39:00
368,52,26,3,9162-04-25,15:56,9162-04-25 15:56:00
369,97,4,3,9357-04-07,17:51,9357-04-07 17:51:00
370,105,18,1,9954-07-31,13:38,9954-07-31 13:38:00
371,34,14,9,9209-03-04,12:41,9209-03-04 12:41:00
372,120,25,5,9916-01-01,17:09,9916-01-01 17:09:00
373,29,31,4,9927-08-12,13:35,9927-08-12 13:35:00
374,31,3,9,9402-10-19,15:46,9402-10-19 15:46:00
375,121,19,7,9307-08-02,11:15,9307-08-02 11:15:00
376,9,9,10,9415-12-21,11:01,9415-12-21 11:01:00
377,7,21,3,9705-02-27,13:10,9705-02-27 13:10:00
378,32,31,4,9762-03-18,08:44,9762-03-18 08:44:00
379,47,2,7,9123-05-09,15:55,9123-05-09 15:55:00
380,102,21,6,9361-01-11,08:24,9361-01-11 08:24:00
381,24,21,9,9874-12-26,14:31,9874-12-26 14:31:00
382,99,21,8,9071-09-02,09:57,9071-09-02 09:57:00
383,56,13,6,9455-08-15,09:07,9455-08-15 09:07:00
384,119,17,8,9095-02-08,11:28,9095-02-08 11:28:00
385,42,17,5,9785-03-04,17:25,9785-03-04 17:25:00
386,122,26,2,9042-07-19,11:05,9042-07-19 11:05:00
387,4,10,3,9929-05-04,10:55,9929-05-04 10:55:00
388,89,12,7,9015-02-23,18:42,9015-02-23 18:42:00
389,32,8,2,9187-06-21,12:55,9187-06-21 12:55:00
390,53,17,3,9842-11-18,16:23,9842-11-18 16:23:00
391,77,3,5,9583-02-13,16:08,9583-02-13 16:08:00
392,113,25,6,9600-05-15,14:45,9600-05-15 14:45:00
393,61,24,8,9314-11-05,14:36,9314-11-05 14:36:00
394,9,8,5,9483-06-14,18:37,9483-06-14 18:37:00
395,114,7,4,9668-05-04,11:31,9668-05-04 11:31:00
396,123,19,5,9227-03-16,13:30,9227-03-16 13:30:00
397,36,8,4,9357-09-13,16:25,9357-09-13 16:25:00
398,112,23,1,9174-01-19,16:52,9174-01-19 16:52:00
399,93,18,4,9031-08-18,17:03,9031-08-18 17:03:00
400,45,9,1,9098-01-19,09:36,9098-01-19 09:36:00
401,41,29,5,9612-06-07,16:14,9612-06-07 16:14:00
402,104,1,9,9259-01-10,16:40,9259-01-10 16:40:00
403,111,1,3,9134-07-20,18:17,9134-07-20 18:17:00
404,92,22,1,9097-12-23,18:12,9097-12-23 18:12:00
405,97,21,3,9616-12-23,12:04,9616-12-23 12:04:00
406,101,6,7,9574-05-30,16:07,9574-05-30 16:07:00
407,41,32,8,9989-12-13,10:35,9989-12-13 10:35:00
408,21,19,1,9163-02-26,10:35,9163-02-26 10:35:00
409,54,23,9,9830-05-16,08:19,9830-05-16 08:19:00
410,124,8,1,9978-06-04,14:56,9978-06-04 14:56:00
411,31,30,8,9717-08-19,08:04,9717-08-19 08:04:00
412,125,15,10,9373-04-16,13:36,9373-04-16 13:36:00
413,86,8,2,9710-06-19,14:19,9710-06-19 14:19:00
414,17,18,6,9819-10-03,13:48,9819-10-03 13:48:00
415,65,7,3,9000-03-13,09:40,9000-03-13 09:40:00
416,116,3,10,9287-08-18,15:47,9287-08-18 15:47:00
417,121,2,6,9186-07-06,13:54,9186-07-06 13:54:00
418,70,8,3,9257-08-22,14:34,9257-08-22 14:34:00
419,115,32,2,9757-01-04,17:46,9757-01-04 17:46:00
420,54,24,1,9352-04-29,17:27,9352-04-29 17:27:00
421,82,3,10,9383-09-02,12:55,9383-09-02 12:55:00
422,86,18,9,9775-06-03,14:14,9775-06-03 14:14:00
423,10,30,5,9004-12-16,08:40,9004-12-16 08:40:00
424,75,15,2,9690-11-21,16:02,9690-11-21 16:02:00
425,113,1,5,9621-04-26,14:16,9621-04-26 14:16:00
426,46,30,4,9625-05-25,14:16,9625-05-25 14:16:00
427,1,24,6,9389-01-02,16:05,9389-01-02 16:05:00
428,9,15,7,9386-03-05,16:15,9386-03-05 16:15:00
429,72,14,5,9714-05-07,10:08,9714-05-07 10:08:00
430,3,6,7,9652-08-05,10:59,9652-08-05 10:59:00
431,47,6,3,9613-12-27,18:49,9613-12-27 18:49:00
432,126,32,10,9223-05-11,15:20,9223-05-11 15:20:00
433,54,21,7,9815-06-24,12:47,9815-06-24 12:47:00
434,94,14,1,9476-12-10,09:12,9476-12-10 09:12:00
